K-sredine,DBSCAN,Gaussova mješavina
6.84E-01,7.28E-01,6.95E-01
6.77E-01,7.33E-01,6.84E-01
6.86E-01,7.38E-01,6.68E-01
6.80E-01,7.39E-01,6.80E-01
6.86E-01,7.57E-01,6.84E-01
6.84E-01,7.51E-01,6.89E-01
6.89E-01,7.22E-01,6.86E-01
6.84E-01,7.24E-01,6.70E-01
6.84E-01,7.57E-01,6.89E-01
6.84E-01,7.29E-01,6.82E-01
6.89E-01,7.14E-01,6.86E-01
6.89E-01,7.43E-01,6.84E-01
6.82E-01,7.45E-01,6.84E-01
6.84E-01,7.42E-01,6.75E-01
6.84E-01,7.38E-01,6.89E-01
6.91E-01,7.54E-01,6.82E-01
6.82E-01,7.39E-01,6.89E-01
6.89E-01,7.44E-01,6.82E-01
6.84E-01,7.41E-01,6.84E-01
6.89E-01,7.32E-01,6.82E-01
